xflr5 v6.59

 Calculated polar for: NACA 4412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -8.000,-0.4077, 0.00670, 0.00253,-0.1078,0.7690,0.0121,-5.1250, 0.0000, 0.0000, 0.0000,-0.0276
 -6.000,-0.1927, 0.00597, 0.00161,-0.1054,0.6801,0.0188,-3.3121, 0.0000, 0.0000, 0.0000,-0.3146
 -4.000, 0.0238, 0.00559, 0.00104,-0.1033,0.5820,0.0347,-1.9912, 0.0000, 0.0000, 0.0000, 4.6648
 -2.000, 0.2422, 0.00540, 0.00075,-0.1015,0.4973,0.0689,-0.9913, 0.0000, 0.0000, 0.0000, 0.6720
  0.000, 0.4620, 0.00524, 0.00069,-0.1002,0.4432,0.1505,-0.7701, 0.0000, 0.0000, 0.0000, 0.4654
  2.000, 0.6800, 0.00522, 0.00085,-0.0987,0.3942,0.2932,-0.9585, 0.0000, 0.0000, 0.0000, 0.3915
  4.000, 0.8791, 0.00540, 0.00145,-0.0938,0.2898,0.6969,-1.1913, 0.0000, 0.0000, 0.0000, 0.3510
  6.000, 1.1217, 0.00706, 0.00290,-0.0998,0.1186,0.9999,-1.9087, 0.0000, 0.0000, 0.0000, 0.3309
  8.000, 1.2962, 0.00908, 0.00444,-0.0906,0.0403,1.0000,-2.9682, 0.0000, 0.0000, 0.0000, 0.3093


