xflr5 v6.59

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -8.000,-0.8318, 0.00717, 0.00304,-0.0149,0.9710,0.0210,-3.7980, 0.0000, 0.0000, 0.0000, 0.2234
 -6.000,-0.6257, 0.00627, 0.00199,-0.0110,0.8459,0.0389,-2.4282, 0.0000, 0.0000, 0.0000, 0.2257
 -4.000,-0.4205, 0.00567, 0.00124,-0.0066,0.6766,0.0875,-1.4208, 0.0000, 0.0000, 0.0000, 0.2287
 -2.000,-0.2113, 0.00520, 0.00076,-0.0031,0.5081,0.1980,-0.7609, 0.0000, 0.0000, 0.0000, 0.2306
  0.000, 0.0000, 0.00497, 0.00060,-0.0000,0.3553,0.3553,-0.4147, 0.0000, 0.0000, 0.0000, 0.4131
  2.000, 0.2113, 0.00520, 0.00076, 0.0031,0.1980,0.5081,-0.7609, 0.0000, 0.0000, 0.0000, 0.2306
  4.000, 0.4205, 0.00567, 0.00124, 0.0066,0.0875,0.6766,-1.4208, 0.0000, 0.0000, 0.0000, 0.2287
  6.000, 0.6257, 0.00627, 0.00199, 0.0110,0.0389,0.8459,-2.4282, 0.0000, 0.0000, 0.0000, 0.2256
  8.000, 0.8318, 0.00717, 0.00304, 0.0149,0.0210,0.9710,-3.7981, 0.0000, 0.0000, 0.0000, 0.2234


